source,target,weight
ldubon63,darwinhk,1
ldubon63,lorenaescobar8,1
ldubon63,josmchacn2,1
ldubon63,manfredoguate,3
ldubon63,augustopazcar,1
ldubon63,robertoarzugg,1
ldubon63,domingo94096837,1
ldubon63,prensacomunitar,1
ldubon63,liberalucha,1
esta_busqueda,congresoguate,1
erickpinaleshou,ldubon63,1
erickpinaleshou,ep_investiga,1
erickpinaleshou,traficogt,1
vhcb,danydoggy,1
vhcb,traficogt,2
vhcb,ep_investiga,1
batallonjalapa,santipalomov,2
batallonjalapa,traficogt,133
batallonjalapa,barevalodeleon,14
batallonjalapa,darwinhk,4
batallonjalapa,yoeldeleon23,3
batallonjalapa,czardetto,1
batallonjalapa,sazodan,1
batallonjalapa,jlfont001,3
batallonjalapa,julioserrano,1
batallonjalapa,fygeditores,1
batallonjalapa,alianzargt,1
batallonjalapa,aliadasgt,1
batallonjalapa,ruda_gt,1
batallonjalapa,justiciayagt,1
batallonjalapa,freevirginial,1
batallonjalapa,asambleasp,1
batallonjalapa,comunidadtz,1
batallonjalapa,impunitywatchgt,1
batallonjalapa,piciregional,1
batallonjalapa,dougcrisgt,1
batallonjalapa,lahoragt,4
batallonjalapa,felixsinexcusas,1
batallonjalapa,almagro_oea2015,2
batallonjalapa,aandresf9,1
batallonjalapa,drgiammattei,4
batallonjalapa,contraloria_gt,1
batallonjalapa,alex_balsells,4
batallonjalapa,cc_guatemala,9
batallonjalapa,raulbarreragt,2
batallonjalapa,leomarksal,1
batallonjalapa,manfredoguate,3
batallonjalapa,wergabriel,1
batallonjalapa,prensacomunitar,8
batallonjalapa,hshetemul,3
batallonjalapa,hsanchezgt,1
batallonjalapa,figueroasarti,2
batallonjalapa,mpguatemala,2
batallonjalapa,bancadasemilla,3
batallonjalapa,alterlego502,2
batallonjalapa,ricigt1,4
batallonjalapa,emisorasunidas,2
batallonjalapa,jsandoval1982,1
batallonjalapa,msemillagt,5
batallonjalapa,cmendeza,1
batallonjalapa,onlyenmiguate,1
batallonjalapa,guss_marro,3
batallonjalapa,plazapublicagt,4
batallonjalapa,alvasol_,2
batallonjalapa,dfernandezg,2
batallonjalapa,marioquan,1
batallonjalapa,bernardosilvagt,1
batallonjalapa,karinherreravp,3
batallonjalapa,ojguatemala,1
batallonjalapa,foho240,1
batallonjalapa,raulitolog,1
batallonjalapa,soniagraguay,2
batallonjalapa,josechic86,1
batallonjalapa,aifanerika,1
batallonjalapa,elarcaico,1
batallonjalapa,fiaheisenberg,1
batallonjalapa,astridv80039430,1
batallonjalapa,marvindelcid,2
batallonjalapa,carlosrkestler,2
batallonjalapa,mariotaracena,1
batallonjalapa,concriteriogt,1
batallonjalapa,oea_oficial,1
batallonjalapa,josepborrellf,1
batallonjalapa,e_18_m_12_4,1
batallonjalapa,jmenkos,1
batallonjalapa,xiomaracastroz,1
batallonjalapa,redjunnaoj,1
batallonjalapa,yamanikc,1
batallonjalapa,aztecanoticiagt,1
batallonjalapa,edmondmulet,1
batallonjalapa,anibalarguello1,1
batallonjalapa,quorumgt,1
batallonjalapa,jeanellydvg,1
batallonjalapa,jodyreporta,1
batallonjalapa,congresoguate,1
batallonjalapa,cmbezares,1
batallonjalapa,orlandoblancol,1
batallonjalapa,aldodavila_gt,1
batallonjalapa,karinapazgt,1
batallonjalapa,jajofd,1
batallonjalapa,vos_gt_,1
batallonjalapa,elsancarlistagt,1
batallonjalapa,alex56gt,1
batallonjalapa,elenamotta_,1
batallonjalapa,factor4_gt,2
batallonjalapa,amilcarmontejo,1
batallonjalapa,sonny_figueroa,3
batallonjalapa,bcie_org,1
batallonjalapa,pedrobrologt,1
batallonjalapa,voxpopuliguate,1
batallonjalapa,santiagotelesur,1
batallonjalapa,marieloscm,1
batallonjalapa,vozdeltuit,1
batallonjalapa,liberalucha,1
batallonjalapa,siempreincomodo,1
batallonjalapa,moratayayoel,1
batallonjalapa,coromboncote,1
batallonjalapa,mmendoza_gt,1
batallonjalapa,bensywulka,1
batallonjalapa,estuardosc,3
batallonjalapa,agenciaocote,2
batallonjalapa,lu_201,1
batallonjalapa,pedgar05,1
batallonjalapa,matilisguates,1
batallonjalapa,_chrisguti,1
aacn75,traficogt,1
aacn75,dgtguate,1
aacn75,dtransitopnc,1
cedr2506,darwinhk,1
cedr2506,traficogt,18
cedr2506,bollmannc,1
cedr2506,jlfont001,1
cedr2506,jodyreporta,1
cedr2506,el_periodico,2
cedr2506,congresoguate,1
cedr2506,monymmorales,1
cedr2506,changeorgcentro,1
cedr2506,hshetemul,1
cedr2506,agenciaocote,1
cedr2506,davidck7,1
cedr2506,diegoespana_,1
cedr2506,factor4_gt,1
cedr2506,unam_mx,1
cedr2506,magmoraga,1
cedr2506,wergabriel,1
cedr2506,aztecanoticiagt,1
cedr2506,arlettg_,1
cedr2506,pams1996,1
cedr2506,manfredoguate,1
cedr2506,rafa_mal0072,1
papaabumario,ricigt1,2
papaabumario,traficogt,36
papaabumario,bermejogt,1
papaabumario,vozdeltuit,1
papaabumario,samuel_pz,1
papaabumario,guss_marro,1
papaabumario,vicentecarrera_,1
papaabumario,discosbeagle,2
papaabumario,carlosrkestler,1
papaabumario,civ_guatemala,1
papaabumario,wergabriel,1
papaabumario,mmendoza_gt,2
papaabumario,bantrab,1
papaabumario,jsandoval1982,1
papaabumario,anongtreloaded,1
papaabumario,zapataadr,1
papaabumario,lahoragt,6
papaabumario,quiquegodoy,1
